County,White,Black,Hisp,Asian,American_Indian,Hawaiian/Pacific Islander
Barnstable,91.40,1.79,2.17,1.05,0.55,0.03
Berkshire,90.63,2.54,3.45,1.22,0.15,0.02
Bristol,85.60,2.87,6.02,1.85,0.20,0.02
Dukes,86.33,2.88,2.32,0.74,1.06,0.02
Essex,76.03,2.63,16.52,3.08,0.12,0.02
Franklin,92.44,0.98,3.15,1.24,0.25,0.01
Hampden,67.71,7.70,20.88,1.93,0.15,0.02
Hampshire,86.19,2.24,4.72,4.51,0.15,0.03
Middlesex,76.53,4.37,6.54,9.27,0.10,0.02
Nantucket,80.53,6.53,9.41,1.16,0.06,0.01
Norfolk,80.31,5.42,3.28,8.59,0.12,0.02
Plymouth,83.92,6.87,3.16,1.20,0.21,0.02
Suffolk,48.06,19.80,19.87,8.17,0.19,0.03
Worcester,80.68,3.64,9.44,3.96,0.16,0.02
