County,Farmers' markets %,Veg Farms,Students eligible for free lunch,Students eligible for reduced price lunch,Food Insecurity (Three year average),Access To Stores (Child),Access To Stores (Seniors),Grocery Availibility,Convenience Stores,Fast Food Restaurants ,Full-Service Restaurants
Barnstable,62.5,3.096903097,19.76065932,4.08309186,11.4,9.053632787,12.03455131,4.795050271,4.134366925,4.608197069,7.061579652
Berkshire,73.33333333,6.993006993,32.64403469,7.386983744,11.4,4.282401989,4.616207775,2.861562258,2.805463271,2.166064982,3.547523427
Bristol,76.19047619,9.59040959,32.27922173,6.134490662,11.4,7.018645327,4.179932702,7.81129157,9.486895533,7.64493523,7.66398929
Dukes,0,1.198801199,12.44404655,4.341987466,11.4,2.901376339,3.08260564,0.696055684,0.332225914,0.382246762,0.987282463
Essex,60,8.091908092,31.5738077,4.837815725,11.4,7.498811206,4.641961797,10.67285383,9.929863418,12.06200892,9.973226238
Franklin,58.33333333,10.78921079,31.94005505,6.891630136,11.4,3.356365033,2.602344896,1.701469451,1.291989664,0.743257592,1.037483266
Hampden,66.66666667,6.393606394,49.02392738,5.16502329,11.4,5.52907484,4.278898904,7.192575406,7.715023994,5.86111701,5.572289157
Hampshire,50,13.08691309,20.2411362,5.088382548,11.4,5.604892852,4.159611399,2.474864656,1.919527501,1.868761945,2.794511379
Middlesex,60,14.38561439,19.12151658,4.514467364,11.4,6.529432609,3.573200676,20.80433101,19.97046881,23.8904226,21.01740295
Nantucket,66.66666667,0.1998002,9.231962762,1.706749418,11.4,3.565295555,1.086267047,0.232018561,0.147655962,0.403482693,0.769745649
Norfolk,58.82352941,2.997002997,13.49992636,3.523000638,11.4,8.7816845,4.828978078,7.733952049,8.970099668,9.025270758,9.638554217
Plymouth,41.17647059,6.093906094,22.41326446,4.760725489,11.4,11.10961935,6.316801038,6.26450116,8.564045773,6.307071565,6.291834003
Suffolk,60.71428571,0.0999001,65.63367619,7.895502261,11.4,0.553564219,0.452592607,15.93194122,12.32927279,14.07942238,14.0227577
Worcester,62.5,16.98301698,28.22706965,5.416708462,11.4,7.260806205,4.14158811,10.82753287,12.40310078,10.9577405,9.621820616
