County,School breakfast program participants %,Summer Food service Participants %,National School Lunch Program Participants,Percent Students eligible for free lunch,Snap Redemptions,SNAP Participants,Snap Benefits per Capita,WIC Participants
Barnstable,2.255217461,0.73371868,8.041595247,19.76065932,5.091441972,12.96342661,11.2917346,1.844194669
Berkshire,2.255217461,0.73371868,8.041595247,32.64403469,9.100387913,12.96342661,19.03306686,1.844194669
Bristol,2.255217461,0.73371868,8.041595247,32.27922173,9.763077632,12.96342661,19.56889817,1.844194669
Dukes,2.255217461,0.73371868,8.041595247,12.44404655,5.229394104,12.96342661,4.868460841,1.844194669
Essex,2.255217461,0.73371868,8.041595247,31.5738077,8.589481551,12.96342661,17.55568683,1.844194669
Franklin,2.255217461,0.73371868,8.041595247,31.94005505,5.95072003,12.96342661,13.70985821,1.844194669
Hampden,2.255217461,0.73371868,8.041595247,49.02392738,10.93963473,12.96342661,26.57698476,1.844194669
Hampshire,2.255217461,0.73371868,8.041595247,20.2411362,5.836374199,12.96342661,6.446630398,1.844194669
Middlesex,2.255217461,0.73371868,8.041595247,19.12151658,5.831077886,12.96342661,12.76075538,1.844194669
Nantucket,2.255217461,0.73371868,8.041595247,9.231962762,0,12.96342661,0,1.844194669
Norfolk,2.255217461,0.7337188,8.041595247,13.49992636,7.672879748,12.96342661,8.056321582,1.844194669
Plymouth,2.255217461,0.73371868,8.041595247,22.41326446,7.476586935,12.96342661,14.57342851,1.844194669
Suffolk,2.255217461,0.73371868,8.041595247,65.63367619,10.21660559,12.96342661,19.34298954,1.844194669
Worcester,2.255217461,0.73371868,8.041595247,28.22706965,8.302337708,12.96342661,13.69906614,1.844194669
